,Depart,Heat,Heat_3d,Heat_7d,Cool_3d,CodeSum_1d,PrecipTotal_1d,PrecipTotal_7d,ResultSpeed_7d,PrecipBool_3d,PrecipBool_7d
0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
1,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.7,0.0,0.0
2,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.7,0.0,0.0
3,2.0,0.0,0.0,5.0,0.0,17.0,0.04,0.52,6.4,0.0,1.0
4,4.0,0.0,0.0,0.0,13.0,47.0,2.35,0.0,5.9,1.0,0.0
5,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.14,4.9,1.0,1.0
6,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.4,0.0,0.0
7,-10.0,1.0,0.0,0.0,3.0,0.0,0.32,0.08,4.4,0.0,1.0
8,10.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,14.2,1.0,0.0
9,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.14,4.9,1.0,1.0
10,7.0,0.0,0.0,0.0,14.0,42.0,0.18,0.01,10.6,1.0,1.0
11,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.36,4.4,0.0,1.0
12,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
13,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
14,-3.0,3.0,11.0,3.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0
15,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.36,4.4,0.0,1.0
16,8.0,0.0,0.0,0.0,16.0,0.0,0.0,0.23,1.5,0.0,1.0
17,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.1,0.0,0.0
18,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
19,-12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,8.2,0.0,1.0
20,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,5.1,1.0,0.0
21,-8.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,4.3,1.0,0.0
22,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.3,1.0,0.0
