Date,Block,AddressAccuracy,Species_CULEX PIPIENS,Species_CULEX RESTUANS,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-29,41,9,0,0,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,41,9,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,62,9,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,79,8,0,0,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,79,8,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,15,8,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,25,8,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,11,8,0,0,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,11,8,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,11,8,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,21,8,0,0,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,22,8,0,0,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,22,8,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,0.0,29.39,30.11,5.8,18,6.5
