,0,1,2,3,4,5,6,7,8
0,0,8,21,35,1,1,0,1,0
1,0,9,42,57,1,1,0,1,0
2,0,12,1,19,0,0,0,1,0
3,0,12,4,22,0,0,0,0,0
4,0,12,17,35,0,1,0,0,0
5,1,13,9,28,0,0,0,0,0
6,0,10,27,43,0,0,1,0,0
7,0,12,9,27,0,0,0,0,0
8,0,16,11,33,0,1,0,1,0
9,0,12,9,27,0,0,0,0,0
10,1,12,17,35,0,1,0,0,0
11,1,12,19,37,0,0,0,1,0
12,0,8,27,41,0,1,1,0,0
13,1,9,30,45,0,0,1,0,0
14,0,9,29,44,0,1,1,0,0
15,0,12,37,55,0,1,0,0,1
16,0,7,44,57,0,1,1,0,0
17,1,12,26,44,0,1,0,1,0
18,0,11,16,33,0,0,0,0,0
19,0,12,33,51,0,1,0,0,0
20,1,12,16,34,1,1,0,1,0
21,1,7,42,55,0,1,0,1,0
22,0,12,9,27,0,0,0,0,0
23,0,11,14,31,0,1,1,0,0
24,0,12,23,41,0,1,0,0,0
25,0,6,45,57,0,1,1,1,0
26,0,12,8,26,0,1,0,1,0
27,0,10,30,46,0,1,0,0,0
28,0,12,8,26,1,1,0,1,0
29,0,12,8,26,0,1,0,0,0
30,0,14,13,33,0,0,0,0,0
31,0,12,46,64,1,0,1,0,0
32,0,8,19,33,0,1,0,0,0
33,0,17,1,24,1,0,1,0,0
34,0,12,19,37,0,0,0,1,0
35,0,12,36,54,0,0,0,0,0
36,0,12,20,38,0,1,1,0,1
37,1,12,35,53,0,1,0,0,1
38,0,12,3,21,0,0,0,0,0
39,0,14,10,30,0,1,1,1,0
40,0,12,0,18,0,0,0,0,0
41,1,14,14,34,0,1,1,1,0
42,0,12,14,32,0,1,0,1,0
43,0,9,16,31,1,1,0,1,0
44,0,13,8,27,0,0,1,0,1
45,0,7,15,28,1,1,1,1,0
46,0,16,12,34,0,1,0,1,0
47,0,10,13,29,0,0,1,0,0
48,1,8,33,47,0,1,0,0,0
49,0,12,9,27,0,1,0,1,0
50,0,12,7,25,0,1,0,0,0
51,1,16,13,35,0,1,0,1,0
52,0,12,7,25,1,1,0,1,0
53,0,12,16,34,1,1,0,1,0
54,0,13,0,19,0,0,0,0,0
55,0,12,11,29,1,0,0,1,0
56,0,13,17,36,0,0,0,1,0
57,0,10,13,29,0,1,0,1,0
58,1,12,22,40,0,0,0,1,0
59,0,12,28,46,1,1,0,1,0
60,0,11,17,34,0,0,0,0,0
61,1,12,24,42,0,1,0,0,1
62,0,3,55,64,0,1,1,1,0
63,0,12,3,21,0,0,1,0,1
64,1,12,6,24,0,0,0,1,0
65,0,10,27,43,0,1,0,0,1
66,1,12,19,37,0,1,1,1,0
67,1,12,19,37,0,1,0,0,1
68,0,12,38,56,1,1,0,1,0
69,1,10,41,57,0,1,1,1,0
70,0,11,3,20,0,0,1,1,0
71,1,14,20,40,0,1,0,0,0
72,0,10,15,31,0,1,0,0,0
73,0,8,8,22,0,1,1,1,0
74,0,8,39,53,1,1,1,1,0
75,1,6,43,55,1,1,0,1,0
76,1,11,25,42,1,1,1,1,0
77,1,12,11,29,0,1,0,0,0
78,0,12,12,30,0,1,0,0,0
79,1,12,35,53,0,1,1,1,0
80,0,14,14,34,0,0,0,0,0
81,1,12,16,34,0,1,0,0,0
82,1,10,44,60,1,0,0,1,0
83,0,16,13,35,1,0,1,0,0
84,1,13,8,27,0,0,0,1,0
85,0,12,13,31,0,0,0,1,0
86,1,11,18,35,0,1,0,0,0
87,0,12,18,36,1,1,0,0,0
88,0,12,6,24,1,0,1,0,0
89,1,11,37,54,0,1,1,1,0
90,0,12,2,20,0,1,1,1,0
91,0,12,23,41,0,1,0,1,0
92,0,12,1,19,0,0,0,0,0
93,0,12,10,28,1,1,1,1,0
94,0,12,23,41,0,1,0,1,0
95,1,12,8,26,0,1,0,0,0
96,0,15,9,30,1,1,0,1,0
97,1,12,33,51,0,1,0,0,1
98,0,12,19,37,1,1,0,1,0
99,0,13,14,33,0,1,0,0,0
100,1,11,13,30,0,1,0,0,0
101,0,10,12,28,0,1,0,0,1
102,0,12,8,26,0,0,0,0,0
103,0,12,23,41,0,1,0,1,0
104,0,14,13,33,1,0,0,1,0
105,0,12,9,27,0,1,1,0,0
106,1,14,21,41,0,1,0,0,0
107,0,5,44,55,0,1,1,0,1
108,1,12,4,22,0,1,0,0,0
109,0,8,42,56,0,1,0,1,0
110,1,13,10,29,0,1,0,0,0
111,0,12,11,29,0,0,0,0,1
112,1,12,40,58,0,1,0,0,1
113,0,12,8,26,0,0,0,0,1
114,0,11,29,46,0,1,1,0,1
115,1,16,3,25,0,0,0,0,0
116,0,11,11,28,0,0,0,0,1
117,1,12,12,30,0,1,0,0,0
118,0,8,22,36,1,1,0,0,0
119,0,12,12,30,0,1,0,0,0
120,1,12,7,25,0,1,0,0,0
121,0,12,15,33,1,0,0,1,0
122,0,12,28,46,0,1,0,0,0
123,1,12,20,38,0,1,1,1,0
124,0,12,6,24,0,0,1,0,1
125,0,12,5,23,0,0,1,1,0
126,0,9,30,45,1,1,1,1,0
127,0,13,18,37,0,1,0,0,0
128,0,12,6,24,1,1,1,1,0
