,0,1,2,3,4,5,6,7,8,9
0,0.0,8.0,21.0,35.0,1.0,1.0,0.0,1.0,0.0,5.1
1,0.0,9.0,42.0,57.0,1.0,1.0,0.0,1.0,0.0,4.95
2,0.0,12.0,1.0,19.0,0.0,0.0,0.0,1.0,0.0,6.67
3,0.0,12.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0
4,0.0,12.0,17.0,35.0,0.0,1.0,0.0,0.0,0.0,7.5
5,1.0,13.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,13.07
6,0.0,10.0,27.0,43.0,0.0,0.0,1.0,0.0,0.0,4.45
7,0.0,12.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,19.47
8,0.0,16.0,11.0,33.0,0.0,1.0,0.0,1.0,0.0,13.28
9,0.0,12.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,8.75
10,1.0,12.0,17.0,35.0,0.0,1.0,0.0,0.0,0.0,11.35
11,1.0,12.0,19.0,37.0,0.0,0.0,0.0,1.0,0.0,11.5
12,0.0,8.0,27.0,41.0,0.0,1.0,1.0,0.0,0.0,6.5
13,1.0,9.0,30.0,45.0,0.0,0.0,1.0,0.0,0.0,6.25
14,0.0,9.0,29.0,44.0,0.0,1.0,1.0,0.0,0.0,19.98
15,0.0,12.0,37.0,55.0,0.0,1.0,0.0,0.0,1.0,7.3
16,0.0,7.0,44.0,57.0,0.0,1.0,1.0,0.0,0.0,8.0
17,1.0,12.0,26.0,44.0,0.0,1.0,0.0,1.0,0.0,22.2
18,0.0,11.0,16.0,33.0,0.0,0.0,0.0,0.0,0.0,3.65
19,0.0,12.0,33.0,51.0,0.0,1.0,0.0,0.0,0.0,20.55
20,1.0,12.0,16.0,34.0,1.0,1.0,0.0,1.0,0.0,5.71
21,1.0,7.0,42.0,55.0,0.0,1.0,0.0,1.0,0.0,7.0
22,0.0,12.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,3.75
23,0.0,11.0,14.0,31.0,0.0,1.0,1.0,0.0,0.0,4.5
24,0.0,12.0,23.0,41.0,0.0,1.0,0.0,0.0,0.0,9.56
25,0.0,6.0,45.0,57.0,0.0,1.0,1.0,1.0,0.0,5.75
26,0.0,12.0,8.0,26.0,0.0,1.0,0.0,1.0,0.0,9.36
27,0.0,10.0,30.0,46.0,0.0,1.0,0.0,0.0,0.0,6.5
28,0.0,12.0,8.0,26.0,1.0,1.0,0.0,1.0,0.0,3.35
29,0.0,12.0,8.0,26.0,0.0,1.0,0.0,0.0,0.0,4.75
30,0.0,14.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,8.9
31,0.0,12.0,46.0,64.0,1.0,0.0,1.0,0.0,0.0,4.0
32,0.0,8.0,19.0,33.0,0.0,1.0,0.0,0.0,0.0,4.7
33,0.0,17.0,1.0,24.0,1.0,0.0,1.0,0.0,0.0,5.0
34,0.0,12.0,19.0,37.0,0.0,0.0,0.0,1.0,0.0,9.25
35,0.0,12.0,36.0,54.0,0.0,0.0,0.0,0.0,0.0,10.67
36,0.0,12.0,20.0,38.0,0.0,1.0,1.0,0.0,1.0,7.61
37,1.0,12.0,35.0,53.0,0.0,1.0,0.0,0.0,1.0,10.0
38,0.0,12.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,7.5
39,0.0,14.0,10.0,30.0,0.0,1.0,1.0,1.0,0.0,12.2
40,0.0,12.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3.35
41,1.0,14.0,14.0,34.0,0.0,1.0,1.0,1.0,0.0,11.0
